Document Title	Abstract
The analog voice privacy system	The Analog Voice Privacy System is based on individual sample permutation of the output samples of a sub-band coder analysis filterbank. The system has a large number of digital keys, giving it the strength of a digital encryption system, but also retains the good quality characteristics of analog scramblers. It has been implemented in a real-time hardware prototype designed for evaluation in the field. The units work with any modular telephone and standard 120 volts AC electricity. The device contains two circuitry boards, one for analog and one for digital processing which contain four digital signal processors. There are 125! possible permutation keys. These prototypes were designed to be tested in real telephone environments. To date, the device has been successfully tested over long distance telephone connections, several different analog and digital PBXs and telephone switches, and a channel simulator. The quality of the decrypted speech is considered very natural, and in particular, speaker recognition is retained. This is a significant advantage over digital vocoders. This paper describes the underlying principles of the algorithm, the details of its implementation and laboratory test results.
Privacy control based on event elements in action logs	The privacy control is vitally discussed in context-aware environments. They focus on the static personal information gathered from many kinds of sensors. This research focuses on action logs. The action logs may be useful to provide context-aware services because they have much more implication than the static information. However, they may have a higher risk of privacy leak than the static information. This paper proposes a privacy control method in action logs.
An efficient distributed privacy-preserving recommendation system	Implementing a recommendation system on the data of mobile social networks exploits knowledge about behavior and preferences of its users and hence raises serious privacy concerns. Leveraging the wealth of aggregated information in these services promises an immense benefit by allowing suggestions for presumably appreciated, yet previously unseen restaurants, sights, and further types of locations. Privacy preserving recommenders based on homomorphic encryption have been proposed, which have a systematic draw-back: while recommender systems often store their information as real values, all homomorphic encryption schemes used today process only data from other algebraic structures, e.g., the ring of integers modulo some integer n. Therefore, we present a novel distributed recommender and a homomorphic encryption scheme, which works directly on real numbers and which possesses some remarkable properties: it is conceptually simple, efficient, and provably secure.
A pristine clean Cabalistic foruity strategize based approach for Incremental data stream privacy preserving data mining	Privacy has in recent times become an astounding akin to an oxymoron. It can either be embellished or marred with technology; confiscating more consideration in many data mining applications. We are focusing on information safety measures in order to preserve the individual's privacy, so that no personal information can be gained by the hacker from the data. Under the modern state of affairs of technological developments which has eradicated the distinction of domain data kept in private and public; we are inadequate in expertise of protecting the individual privacy. With today's scenario of data strewn globally, the records get incremented from various sources, which further masquerade a greater confrontation. In this paper we propose a new technique called Cabalistic fortuity strategize based approach for incremental data stream based PPDM. Our technique optimizes the privacy level by toughening the re-identification of original data without compromising the processing speed and data utility. Thus, it solves the re-identification predicament which is found in the conventional random projections. Here the encryption based random projection assigns secret keys to the positions of random matrix elements and not to the random numbers, (viz., where the random matrix is going to hold the random numbers). We have tackled two kinds of random sequences for generating the random sequences called determinist and indeterminist random sequences and encrypted it in a new way. And also we have proposed a projection based sketch for incremental data stream. We hope the proposed solution will tarmac way for investigation track and toil well according to the evaluation metrics including hiding effects, data utility, and time performance.
EMPPC-an evolutionary model based privacy preserving technique for cloud digital data storage	This paper spank out the enormity of unknown users hand on web service users' and their data protection level bump up as an issue in cloud users mind. Once hiring a data space in cloud it's the responsibility of both to accustomed the stored information's privacy and preserving it in a secret way. It is noticed by the academicians and researchers oodles and masses of privacy breaches relentlessly observable fact dealt globally. It is one of the hottest research topics. This work targets data privacy and its preservation by proposing an evolutionary approach to safeguard the confidential data stored in the cloud. It also focuses on prominent study of users' privacy need and to preserve data distorted from intermediate digital data thieves.
Impact of trust, security and privacy concerns in social networking: An exploratory study to understand the pattern of information revelation in Facebook	In the era of Internet technologies, social networking websites has witnessed thriving popularity. Computer mediated communication has changed the rules of social interaction and communication. Most social networking sites like Orkut, Facebook, Google+, Twitter etc. facilitates user's with the features like online interaction, sharing of information and developing new relationships etc. Online interaction and sharing of personal information in social networking sites has raised new privacy concerns. So, it requires an exploratory insight into user's behavioural intention to share information. This research aims to develop a research model, with security and privacy concerns conceptualized as an antecedent of trust in social networking site and moderator of information sharing. The study aims to understand the impact of security, trust and privacy concerns on the willingness of sharing information in social networking sites. Using an online questionnaire, empirical data were collected from 250 Facebook user's of different age group over the time period of 4 months. Reliability analysis, confirmatory factor analysis, structure equation modelling is used to validate the proposed research framework. This empirical study, based on an established theoretical foundation, will help the research community to gain a deeper understanding of the impacts of privacy concern in the context of Facebook. Practical implications: - The paper increases the understanding of user's willingness to reveal information on social networking site on their level of privacy, security and trust. The proposed ideas and discussion is equally applicable to social networking site operators with useful strategies for enhancing user's acceptance. Findings:-The privacy concerns of research respondents were found statistically significant and suggest that privacy concerns like security, trust has a positive effect on information sharing.
A privacy breach preventing and mitigation methodology for cloud service data storage	The present paper focuses on privacy preserving technique. Cloud computing is not a new technology more over it is a new way of delivering technology. Providers deliver it in the form of services, in computing field security is the main concern which blocks the tremendous growth of Cloud computing and became a huge debate area worldwide, due to security breach of user's valuable information. So we identified the week service bonding of cloud providers in maintaining, and preserving users' secrecy and failed to have a universal service level agreement. This paper focus on privacy mitigation methodology by proposing a privacy preserving algorithmic approach to congregate the privacy issue and preserve ones confidential data stored in the cloud.
Hiding sensitive association rules to maintain privacy and data quality in database	In this paper, we propose a heuristic based algorithm named MDSRRC (Modified Decrease Support of R.H.S. item of Rule Clusters) to hide the sensitive association rules with multiple items in consequent (R.H.S) and antecedent (L.H.S). This algorithm overcomes the limitation of existing rule hiding algorithm DSRRC. Proposed algorithm selects the items and transactions based on certain criteria which modify transactions to hide the sensitive information. Experimental result shows that proposed algorithm is highly efficient and maintains database quality.
ALP: An authentication and leak prediction model for Cloud Computing privacy	The current paper is an attempt to integrate privacy preservation with privacy leak detection in the context of text mining. This may be considered as extending the Storage as a Service feature of Cloud Computing wherein the user in the role of content creator submits the documents to be stored. There exists a facility to cluster these documents based on the concept-based mining algorithm. The clustered documents are usually available in the form a tree. When a user in the role of a subscriber requests to access a document, this request for access will have to go through an authentication procedure based on the Leakage Free Redactable Signature Scheme. Access control information is being maintained in the form of a Cloud user access control list. A privacy detection leak module which detects privacy leaks depending upon the pattern of previous privacy leaks is also being proposed. This information is then used to update the cloud user access control list and users responsible for privacy leaks are prevented from accessing the cloud service. The current document being requested by the user together with the information from the access control list is used to decide which part of the redacted trees have to be made available to the user as a response. Thus this combination of this authentication procedure and privacy leak detection can be used to ensure the privacy of the sensitive information stored by the user in the cloud.
An Improved Method for Privacy Preserving Data Mining	In the light of developments in technology to analyze personal data, public concerns regarding privacy are rising. Often a data holder, such as a hospital or bank needs to share person specific records in such a way that the identities of the individuals who are the subjects of data cannot be determined. The generalization techniques such as K-anonymous, L-diverse and t-closeness were given as solutions to solve the problem of privacy breach, at the cost of information loss. Also, a very few papers dealt with personalized generalization. But, all these methods were developed to solve the external linkage problem resulting in sensitive attribute disclosure. It is very easy to prevent sensitive attribute disclosure by simply not publishing quasi-identifiers and sensitive attributes together. But the only reason to publish generalized quasi identifiers and sensitive attributes together is to support data mining tasks that consider both types of attributes in the database. Our goal in this paper is to eliminate the privacy breach (how much an adversary learn from the published data) and increase utility (accuracy of data mining task) of a released database. This is achieved by transforming a part of quasi-identifier and personalizing the sensitive attribute values. Our experiment conducted on the datasets from the UCI machine repository demonstrates that there is incremental gain in data mining utility while preserving the privacy to a great extend.
Parallel Privacy Preserving Association rule mining on pc Clusters	Association rules discovered by association rule mining may contain some sensitive rules, which may cause potential threats towards privacy and security. In this paper, we address the problem of privacy preserving association rule mining by proposing a Knowledge Sanitization to prevent the disclosure of sensitive rules. We also present parallel approach to generate a non-sensitive and sensitive rule mining. Our proposed solution key issue is to provide a high degree of parallelism for privacy to the data owner.
A K-anonymity Based Semantic Model For Protecting Personal Information and Privacy	The proper protection of personal information is increasingly becoming an important issue in an age where misuse of personal information and identity theft are widespread. At times there is a need however for management or statistical purposes based on personal information in aggregated form. The k-anonymization technique has been developed to de-associate sensitive attributes and anonymise the information needed to a point where the identity and associated details cannot be reconstructed. The protection of personal information has manifested itself in various forms, ranging from legislation, to policies such as P3P and also information systems such as Hippocratic database. Unfortunately, none of these provide support for statistical data research and analysis. The traditional k-anonymity technique proposes a solution to this problem, but determining which information can be generalized and which information needs to be suppressed is potentially difficult to determine. In this paper we propose a new idea that integrates personal information ontology with the concept of k-anonymity, in order to overcome these problems. We demonstrate the idea with a prototype in the context of healthcare data management, a sector in which maintaining the privacy of individual information is essential.
Hiding of User Presence for Privacy Preserving Data Mining	Recently, it has been expected to realize privacy preserving data mining in order to acquire valuable knowledge from the combined information sources of several service providers. Therefore researches have been conducted on a distributed anonymization method, which combines the personal information and anonymize it to prevent identifying specific user records. However, in those researches, when sets of the users in the providers are not the same, there is a problem that users' presence in either provider may be revealed. Thus, this paper proposes a new indicator which represents the probability of the presence of users being revealed and introduces a modified distributed anonymization method to satisfy the proposed indicator. Also, we use U.S. census data for evaluation and calculate the relative error of its anonymized data. The results show that it is almost 10-25% in specific cases.
Privacy preserving associative classification on vertically partitioned databases	The growing needs of multiple parties interaction in corporate and financial sector emphasize the need of developing privacy preserving and efficient distributed data mining algorithms. Even though a lot of research work is progressing in this area to transform efficient centralized mining models to work on horizontal and vertical partitioned databases there is lack of associative classification model that can perform classification on vertically partitioned databases. In order to overcome such needs this paper proposes an associative classification model on vertically partitioned databases. By considering privacy requirements in case of data sharing among multiple parties a scalar product based third party privacy preserving model adopted for proposed model. The proposed model accuracy tested on UCI data bases given encouraging results.
Accountable privacy based on publicly verifiable secret sharing	As developing the internet a variety of services emerge and service providers serve services such as using users' private information. Service providers require many types of information related users even including sensitive private information to serve a service with high quality, but users are reluctant to disclose their private information. Because if the private information is leaked it will lead to an invasion of privacy of users and may arise some problems about users' life. Nevertheless, service providers want to collect the users' information because of increasing their efficiency of services. As a result, it brings about a conflict of the loss and gain between users and service providers. Anonymity is one of the solutions. Anonymity can get rid of linkability between transaction and users' private information. Therefore, users can provide their private information without concerns about leaking it and service providers can collect many types of information and serve services with high quality. However, anonymity may be abused, and used to undermine the protection goal of accountability. Namely, a person who is assured anonymity may serve information which is not related him/her. It may be reduced the quality of services. Revocation of anonymity can make up for weak point of anonymity. But when anonymity is revoked legal dispute may be arisen and there is a cost of time or money. In this paper, we propose a scheme for accountable privacy using secret sharing and some cryptographic methods. The scheme we propose reduces a cost of revocation of anonymity because there is maybe no legal dispute and keeps anonymity more secure against collusion between service provider and revocation authority.
An effective privacy protection scheme for cloud computing	With the rapid development of cloud computing, more cloud services are into our daily life, and thus security protection of cloud services, especially data privacy protection, becomes more important. However to perform privacy protection causes huge overhead. Thus it is a critical issue to perform the most suitable protection to decline performance consumption while provide privacy protection. In this paper, the Effective Privacy Protection Scheme (EPPS) is proposed to provide the appropriate privacy protection which is satisfying the user-demand privacy requirement and maintaining system performance simultaneously. At first, we analyze the privacy level users require and quantify security degree and performance of encryption algorithms. Then, an appropriate security composition is derived by the results of analysis and quantified data. Finally, the simulation results show that the EPPS not only fulfills the user-demand privacy but also maintains the cloud system performance in different cloud environments. The execution result of EPPS outperforms other security schemes by 35% to 50%.
Online advertising and its security and privacy concerns	Commercial advertising has greatly benefitted from Internet services and online advertising can even be considered as the foundation of web economy. However, despite the availability of many books on how to create, use and make profit from online advertisement; there is little in-depth study on its true nature, security and privacy concerns. Through this research, the authors were able to establish an in-depth understanding of online advertising by collecting and analyzing numerous data on online advertising, with the hope that it could serve as a basis for further study on the field. The authors have also examined the security and privacy concerns of online advertising and the various gimmicks used to victimize innocent people. On the positive side, the paper explains the attractiveness of free online advertising services and the mechanism though which website owners profit from hosting online advertisements despite the fact that neither advertisers nor users pay for the services. On the negative side, the paper shows how online advertising hosts could be victimized by some shroud users for their money making purposes by continuous clicking of online advertisements without any intention of purchase. It also cites cases in which some website owners have marketed users' private information behind the scene. The paper concludes by highlighting pros and cons of online advertising, i.e., despite its numerous advantages, such as efficiency and range, it presents many dangers to advertisers, providers, website owners, and users.
Session 5C: Information Security Technology (V) : Privacy & P2P	Start of the above-titled section of the conference proceedings record.
Review of Japan's privacy policy	The recent trend of growing breaches of personal privacy suggests the urgent need for privacy protection. Legislated by Japan's General Services Administration in May 2003, the Privacy Act applies to activities dealing with personal information in private industry sectors including the information telecommunications industry. The Privacy Act stipulates the basic policies for the general execution of personal information protection and roles and duties related to privacy management for information telecommunications companies. The Act take effect on April 1, 2005 for information telecommunications industries. This document reviews the contents of the Japanese Privacy Act and seeks to understand the Japanese policy direction regarding privacy protection to address strategic current issues for Korean privacy policies
On the study of service security model for privacy using global user management framework	GUMF (global user management framework) that is proposed in this research can be applied to next generation networks such as BcN (broadband convergence network), it's QoS guaranteed security framework for users can solve the present Internet's security vulnerability. GUMF offers anonymity for users of the service and uses the user's real-name or ID for management of service and it's technology can realize secure QoS. GUMF needs a management framework, UMS (user management system), VNC (virtual network controller) etc. UMS consists of a root UMS in country dimension and local UMS in each site dimension. VNC's network security equipment includes VPN, QoS and security functions etc., and it achieves the QoSS (quality of security service) and CLS (communication level switching) functions. GUMF can offer safety in bandwidth consumption attacks such as worm propagation and DoS/DDoS, IP spoofing attack, and most current attacks such as abusing of private information because it can offer the different QoS guaranteed network according to user's grades. User's grades are divided by 4 levels from Level 0 to Level 3, and the user's security service level is decided according to the level of the private information. Level 3 users that offer bio-information can receive secure network service where privacy is guaranteed. Therefore, GUMF that is proposed in this research can offer a profit model to ISP and NSP, and can be utilized by strategy for secure u-Korea realization
Privacy Protection based on User-defined Preferences in RFID System	Radio frequency identification, known as RFID, is fast becoming one of the most controversial technologies at present. Because the radio waves emitted from RFID reader are invisible, it's really hard to detect who reads a tag attached to or incorporated into products owned by a person. A significant concern to privacy threats in RFID system arises from this reason. Privacy threats are not just problem. Security is also another critical consideration. Many solutions have been proposed to address these fundamental problems and facilitate the benefits of RFID system. However, many of them are hard to implement in practice, even though their approaches are theoretically plausible in the literature. Keeping them in mind, we will design "preferences" oriented communication protocol rather than contrive new algorithm or hardware modules to prevent ill-intentioned uses of RFID technology. The concept "preferences" is originated on P3P
Design and Implementation of RDBAC Framework for Privacy on NEIS	In Korea, as concerns for protecting privacy is increased in developing e-government, digital era, it is needed to develop the more sophisticated mechanism for secure strategy. Research in the area of role-based access control (RBAC) has made fast progress over the last ten years and is well-known to effective techniques to reduce the complexity of role administration and ensure the security policy in large institutions or enterprises. However, we came to faced with two questions in adopting RBAC; how controls the access right of huge users in real world and how restricts the personal data access range of each user who takes the same role in organization. In RBAC model, the accessible data range is defined by role and its' system operation and it is needed to be extend it's model. In this paper we proposed new role and data based access control (RDBAC) platform, which was extended data access control mechanism and deployed in NEIS (National Education Information System). NEIS is a Web based centralized education administration system. It was developed as one of the 11 e-government projects by Ministry of Education and Human Resource Development (MOE&HRD) in Korea. Our approach of designing RDBAC model was successfully adopted in NEIS and it warrants our secure policy. Our contributions of RDBAC framework represented as three parts; simplifying complexity of user/role association, providing flexibility of role/operations association, and ensuring complete secure policies and principles by limiting access data range
RFID Authentication Protocol for Anti-Counterfeiting and Privacy Protection	RFID (radio frequency identification) is one of the most promising NFC (near field communication) technologies for pervasive and ubiquitous network societies in recent year. The main factor for more and more interests from both industry and academic institutes is due to the lower and lower costs, which may pose a threat to information security while RFID become part of our daily life because the lower cost, the weaker cryptographic algorithms provided by RFID tags. A feasible security mechanism for anti-counterfeiting and privacy protection is proposed that features mutual two-pass authentication and uses hash function and XOR operation to enhance the RFID tag's security but still with low cost.
Consumer's Privacy Concerns and Willingness to Provide Personal Information in Location-Based Services	Location-based services (LBS) are expected to provide more enhanced values utilizing consumer's personal information such as location information, and profile information. However, in contrast to existing mobile applications, LBS could raise more severe consumer's privacy concerns because of dynamically changing information such as location information could be more sensitive to consumer. In this context, this study proposes the research model that conceptualizes personal characteristics influencing consumer's privacy concerns and investigates the relationship between perceived privacy concerns and willingness to provide personal information. Finally, the model tests moderating effects that makes differences in the strength of relation between personal characteristics and consumer's privacy concerns. Data is collected by online survey and the model is verified by structural equation model.
Location privacy in sparse environment	Privacy of personal location information is becoming an increasingly important issue. This paper develops new methods for location privacy in sparse environment based on dummy users. The true user has been mixed with a set of dummy users in that LBSs can't distinguish the true user so as to protect user location privacy. We present two techniques, the first one is called ΓÇ£dummy user trigger algorithmΓÇ¥, which is able to achieve the balance of user's Location privacy and system performance, and the second one is named ΓÇ£dummy user generation algorithmΓÇ¥ based on the period density matrix which enhances the truthfulness of dummy user.
Privacy preserving based on association rule mining	Privacy has become an important issue in Data Mining. Many methods have been brought out to solve this problem. This paper deals with the problem of association rule mining which preserves the confidentiality of each database. In order to find the association rule, each participant has to share their own data. Thus, much privacy information may be broadcast or been illegal used. These issues can be divided into two categories: data hiding and knowledge hiding. This paper reviews the major method of privacy preserving on each category and choose some of them to complete our system. At the end, an improvement of sensitive rules hiding is proposed to make it more accuracy and security.
Privacy preserving clustering over distributed data	Data mining based on privacy preserving is the combination of information security technology and knowledge discovery technology. A simple and effective privacy-preserving distributed mining method of clustering (PPD-SMD) and (PPD-JD) is proposed to solve the issue about privacy preserving of cluster based on Binary and Nominal Attributes distance. This method brings the secure protocol and crypto-algorithm in the data models of the horizontal distributed. Using semi-trusted third party (STTP), PPD-SMD and PPD-JD do not transfer real data to other sites in clustering procedure. In the end, analysis in security, efficient and complexity are carried on.
Combined data distortion strategies for privacy-preserving data mining	The problem of privacy-preserving data mining has become more and more important in recent years. Many successful and efficient techniques have been developed. However, in collaborative data analysis, part of the datasets may come from different data owners and may be processed using different data distortion methods. Thus, combinations of datasets processed using different methods are of practical interests. In this paper, a class of novel data distortion strategies is proposed. Four schemes via attribute partition, with different combinations of singular value decomposition (SVD), nonnegative matrix factorization (NMF), discrete wavelet transformation (DWT), are designed to perturb submatrix of the original datasets for privacy protection. We use some metrics to measure the performance of the proposed new strategies. Data utility is examined by using a binary classification based on the support vector machine. Our experimental results indicate that, in comparison with the individual data distortion techniques, the proposed schemes are very efficient in achieving a good trade-off between data privacy and data utility, and provide a feasible solution for collaborative data analysis.
